Page,Users,Sessions,Users % of Total,Pageviews,Unique Pageviews,Entrances,Bounce Rate
/catalog/view/doi:10.18739/A27H1DN3T,3,3,0.001882,3,3,3,1
/catalog/view/doi:10.18739/A2GQ6R33X,3,3,0.001873,3,3,3,1
/catalog/view/doi:10.18739/A2MS3K255,3,3,0.001865,3,3,3,1
/catalog/view/urn:uuid:9c4d4c0a-cc69-43d0-84e3-a5f88ab517fe,3,0,0.001856,5,3,0,null
/catalog/view/urn:uuid:53c8bcca-a737-4705-8a83-7ede2a5538bd,3,0,0.001848,3,3,1,null
/catalog/view/doi:10.18739/A2V40K086,3,2,0.001839,3,3,2,1
/catalog/view/doi:10.18739/A2NK0X,3,3,0.001831,3,3,3,1
/catalog/view/doi:10.18739/A2PC2T92V,3,3,0.001823,3,3,3,1
/catalog/view/doi:10.18739/A2KJ9C,3,3,0.001815,3,3,3,1
/catalog/view/doi:10.18739/A2Z892F8J,3,3,0.001808,3,3,3,1
/catalog/view/urn:uuid:75d09695-ebc1-41e0-bdc7-399a14eb33fd,3,3,0.0018,3,3,3,1
/catalog/view/urn:uuid:db759dce-0d90-42dc-92a5-fc2c3987560b,3,0,0.001792,7,4,0,null
/catalog/view/doi:10.18739/A22F7JS0V,3,3,0.001785,3,3,3,1
/catalog/view/doi:10.18739/A2JM23G9Z,3,3,0.001777,3,3,3,1
/catalog/view/doi:10.18739/A2154DQ03,3,3,0.00177,3,3,3,1
/catalog/view/doi:10.18739/A24K08,3,3,0.001762,3,3,3,1
/catalog/view/doi:10.18739/A22R3NX7V,3,2,0.001755,3,3,2,1
/catalog/view/urn:uuid:35e5461f-f0b0-4341-b4c2-da6064b28e4f,3,3,0.001748,3,3,3,1
/catalog/view/doi:10.18739/A2CV4BS43,3,2,0.001741,3,3,2,1
/catalog/view/urn:uuid:1c3f9606-70f9-4a4e-8429-b7794688d25f,3,3,0.001734,3,3,3,1
/catalog/view/doi:10.5065/D6DZ06G2,3,3,0.001727,3,3,3,1
/catalog/view/doi:10.5065/D6FT8J6K,3,3,0.001721,3,3,3,1
/catalog/view/doi:10.18739/A2VM42Z3G,3,2,0.001714,3,3,2,1
/catalog/view/doi:10.18739/A2862BC5Z,3,3,0.001707,3,3,3,1
/catalog/view/doi:10.18739/A2H12V79R,3,3,0.001701,3,3,3,1
/catalog/view/doi:10.18739/A2F18SG0C,3,3,0.001694,3,3,3,1
/catalog/view/doi:10.18739/A2GM81P80,3,2,0.001688,3,3,2,1
/catalog/view/doi:10.18739/A2HT2GC4H,3,3,0.001682,3,3,3,1
/catalog/view/urn:uuid:0bfd95cd-4b8a-4921-9e6e-09b43dee4560,3,0,0.001675,6,4,0,null
/catalog/view/urn:uuid:835a7c67-5d78-4946-9d40-e70aa2f811c8,3,1,0.001669,6,3,1,1
/catalog/view/doi:10.18739/A2H98ZD5B,3,2,0.001663,3,3,2,1
/catalog/view/doi:10.5065/D6RB72S0,3,3,0.001657,3,3,3,1
/catalog/view/doi:10.5065/D6571957,3,3,0.001651,3,3,3,1
/catalog/view/doi:10.18739/A2028PD9W,3,1,0.001645,3,3,1,1
/catalog/view/doi:10.5065/D6DR2SN1,3,3,0.001639,3,3,3,1
/catalog/view/doi:10.18739/A2V97ZS31,3,2,0.001634,3,3,2,1
/catalog/view/doi:10.18739/A2QC27,3,3,0.001628,3,3,3,1
/catalog/view/doi:10.5065/D6N29V42,3,3,0.001622,3,3,3,1
/catalog/view/doi:10.18739/A20R8S,3,3,0.001617,3,3,3,1
/catalog/view/dcx_84b3a66d-14bb-4ad9-be17-a36d4f4cbc54_1,3,2,0.001611,3,3,2,1
/catalog/view/doi:10.18739/A2S17SS80,3,2,0.001606,3,3,2,1
/catalog/view/doi:10.5065/D6HM56M7,3,3,0.0016,3,3,3,1
/catalog/view/doi:10.18739/A2NV46,3,3,0.001595,3,3,3,1
"/catalog/profile/CN=arctic-data-admins,DC=dataone,DC=org",3,0,0.001589,3,3,0,null
/catalog/view/doi:10.18739/A2TH8BN4D,3,3,0.001584,3,3,3,1
/catalog/view/doi:10.18739/A2FV7G,3,3,0.001579,3,3,3,1
/catalog/view/doi:10.5065/D6KK98ZB,3,3,0.001574,3,3,3,1
/catalog/view/doi:10.18739/A2SJ19S07,3,1,0.001569,5,3,1,1
/catalog/view/doi:10.18739/A23J91,3,3,0.001564,3,3,3,1
/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,3,2,0.001559,4,3,2,1
/catalog/view/doi:10.18739/A20863604,3,2,0.001554,3,3,2,1
/catalog/view/doi:10.18739/A2PK07201,3,3,0.001549,3,3,3,1
/catalog/view/urn:uuid:a28af195-6b60-4bab-9725-6c0f03ce0958,3,2,0.001544,5,4,2,0.5
/catalog/view/doi:10.18739/A2XG9FB90,3,2,0.001539,3,3,2,1
/catalog/view/doi:10.18739/A2W66988R,3,3,0.001534,3,3,3,1
/catalog/view/doi:10.18739/A2S17ST4H,3,3,0.00153,3,3,3,1
/catalog/view/doi:10.5065/D6S180PD,3,3,0.001525,3,3,3,1
/catalog/view/doi:10.18739/A2BV79W4V,3,3,0.00152,4,3,3,0.666666667
/catalog/view/urn:uuid:fa246ba2-a713-4eb6-a824-0bf154b521d6,3,3,0.001516,3,3,3,1
/catalog/view/doi:10.18739/A2MP4VN9C,3,3,0.001511,3,3,3,1
/synthesis-working-groups/,3,0,0.001507,5,3,0,null
/catalog/view/doi:10.18739/A2319S373,3,2,0.001502,3,3,2,1
/catalog/view/doi:10.18739/A2DB7VQ93,3,3,0.001498,3,3,3,1
/catalog/view/doi:10.18739/A2ZV74,3,3,0.001494,3,3,3,1
/catalog/view/doi:10.18739/A20G3GZ7V,3,2,0.001489,3,3,2,1
/catalog/view/doi:10.18739/A20000151,3,3,0.001485,3,3,3,0.666666667
/catalog/view/doi:10.18739/A29P2W69D,3,2,0.001481,3,3,2,1
/catalog/view/urn:uuid:e0366382-8980-4037-9192-f6e3cef1fe9e,3,0,0.001477,5,4,0,null
/catalog/data/page/3,3,0,0.001472,5,3,0,null
/catalog/view/doi:10.18739/A24X54H5D,3,2,0.001468,3,3,2,1
/catalog/view/doi:10.18739/A2NR6X,3,3,0.001464,3,3,3,1
/catalog/view/doi:10.18739/A2FF3M027,3,3,0.00146,3,3,3,1
/catalog/view/doi:10.5065/D65T3HNM,3,3,0.001456,3,3,3,1
/catalog/view/doi:10.18739/A2G15TC0M,3,3,0.001452,3,3,3,1
/catalog/view/doi:10.18739/A2XS5JH92,3,3,0.001448,3,3,3,1
/catalog/view/dcx_84a34cf8-0276-498f-afcc-831a0567e5fe_2,3,2,0.001444,3,3,2,1
/catalog/view/doi:10.18739/A27S7HT0W,3,2,0.00144,3,3,2,1
/catalog/view/urn:uuid:db3e4eba-ab36-4cf9-9e35-0cd8ceec970e,3,3,0.001437,3,3,3,1
/catalog/view/doi:10.5065/D6B56GWG,3,3,0.001433,3,3,3,1
"/bfkvztdb.php3?<meta http-equiv=set-cookie content=""testqkhz=6123"">",3,3,0.001429,3,3,3,1
/catalog/view/doi:10.18739/A2HR72,3,3,0.001425,3,3,3,1
/catalog/view/doi:10.18739/A2D795B5P,3,3,0.001422,3,3,3,1
/catalog/view/doi:10.18739/A2QZ22H8H,3,2,0.001418,3,3,2,1
/catalog/view/doi:10.18739/A20B8N,3,3,0.001414,3,3,3,1
/catalog/view/urn:uuid:f7c1f5bf-298e-4c0f-b7c4-576b7f30a465,3,3,0.001411,3,3,3,1
/catalog/view/urn:uuid:4faab4a9-1fde-4277-8b56-69e7f6e93458,3,3,0.001407,3,3,3,1
/catalog/view/doi:10.18739/A2QJ77Z85,3,3,0.001404,3,3,3,1
/catalog/view/doi:10.18739/A2R785Q1D,3,3,0.0014,3,3,3,1
/catalog/view/doi:10.18739/A2542J910,3,2,0.001397,3,3,2,1
/catalog/view/doi:10.18739/A27S7HS9S,3,2,0.001393,4,3,2,1
/catalog/view/doi:10.5065/D6JH3JCR,3,3,0.00139,3,3,3,1
/catalog/view/urn:uuid:fe574543-5599-4773-a913-fd9594eb0111,3,3,0.001386,3,3,3,1
/catalog/view/doi:10.5065/D6N014Q8,3,3,0.001383,3,3,3,1
/catalog/view/doi:10.18739/A2BZ6187K,3,3,0.00138,3,3,3,1
/catalog/view/urn:uuid:0d61a3a1-6a7d-4459-adf7-399b7a977e4a,3,0,0.001376,10,4,0,null
/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/14/2,3,2,0.001373,3,3,2,1
/catalog/view/doi:10.18739/A2422V,3,3,0.00137,3,3,3,1
/catalog/view/doi:10.18739/A2D26V,3,3,0.001366,3,3,3,1
/catalog/view/doi:10.18739/A2KD1QK9M,3,3,0.001363,3,3,3,1
/catalog/view/urn:uuid:1f3cb918-b4b1-4f43-85c3-4f23997dcc45,3,1,0.00136,6,6,1,0
/catalog/view/urn:uuid:742c88ed-b864-4227-923b-4b3ce4bdd9d2,3,1,0.001357,8,5,1,1
/catalog/view/doi:10.18739/A20P0WR6K,3,2,0.001354,3,3,2,1
/catalog/view/dcx_cf0dfc1f-8d4e-4069-b856-27c67ff29dcd_2,3,2,0.001351,3,3,2,1
/catalog/view/doi:10.18739/A24F1MK1T,3,2,0.001348,3,3,2,1
/catalog/view/doi:10.18739/A2VH5CJ92,3,3,0.001344,3,3,3,1
/catalog/view/doi:10.18739/A2RN3078P,3,3,0.001341,3,3,3,1
/catalog/view/doi:10.18739/A2HX15R5V,3,3,0.001338,3,3,3,1
/catalog/view/doi:10.18739/A24Q7QQ88,3,3,0.001335,3,3,3,1
/catalog/view/dcx_ebc2a5d3-99ac-486c-be77-885f52584548_2,3,3,0.001332,3,3,3,1
/catalog/view/doi:10.18739/A23R0PT8K,3,3,0.00133,3,3,3,1
/catalog/view/urn:uuid:44ec643b-d856-405c-8109-4f3d51a55f32,3,1,0.001327,3,3,1,1
/catalog/view/doi:10.18739/A2X81P,3,3,0.001324,3,3,3,1
/catalog/view/doi:10.22008/promice/data/calving_front_lines,3,1,0.001321,5,5,1,1
/catalog/view/doi:10.18739/A24J8Z,3,3,0.001318,3,3,3,1
/catalog/view/urn:uuid:731f6ee9-a128-41e2-baf4-df57bb73a910,3,3,0.001315,3,3,3,1
/catalog/view/doi:10.18739/A2M226,3,3,0.001312,3,3,3,1
/catalog/view/doi:10.18739/A2QZ22J1K,3,2,0.00131,3,3,2,1
/catalog/view/doi:10.18739/A2736M30F,3,2,0.001307,4,3,2,1
/catalog/view/doi:10.18739/A2HH6C65X,3,2,0.001304,3,3,2,1
/catalog/view/doi:10.18739/A2J38KJ0D,3,3,0.001301,3,3,3,1
/catalog/view/doi:10.18739/A2N22H,3,3,0.001299,3,3,3,1
/catalog/view/urn:uuid:a71e0e2d-54a7-45ce-a1b4-72b6029bb8ab,3,4,0.001296,10,6,4,0.25
/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/20113/1,3,3,0.001293,3,3,3,1
/catalog/view/doi:10.18739/A2VJ73,3,3,0.001291,3,3,3,1
/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/13/1,3,2,0.001288,6,5,2,1
/catalog/view/doi:10.5065/D68S4MZV,3,3,0.001285,3,3,3,1
/catalog/data/page/2,3,0,0.001283,7,3,0,null
/catalog/view/doi:10.18739/A27H1DN2B,3,3,0.00128,3,3,3,1
/catalog/view/doi:10.18739/A2Q814T07,3,3,0.001278,3,3,3,1
/portals/reportcard,3,3,0.001275,7,3,3,0
/catalog/view/doi:10.18739/A2NV99B3R,3,3,0.001273,3,3,3,1
/catalog/view/doi:10.18739/A2V698C8H,3,3,0.00127,3,3,3,1
/catalog/view/doi:10.18739/A2QV3C475,3,2,0.001268,3,3,2,1
/catalog/view/doi:10.5065/D6C24TMJ,3,3,0.001265,3,3,3,1
/catalog/view/doi:10.18739/A2125Q94Q,3,3,0.001263,3,3,3,1
/catalog/view/doi:10.18739/A2KW57J9Q,3,2,0.00126,3,3,2,1
/catalog/view/doi:10.18739/A25T3G079,3,3,0.001258,3,3,3,1
/catalog/view/doi:10.18739/A2RN3081R,3,2,0.001255,3,3,2,1
